id,kind,lat,lng,r
4002559000,1,37.6145825,75.3435011,14387
4002559001,1,37.6982476,75.2392333,14389
487900,1,39.5641341,76.0766790,14167
487901,1,39.5225388,75.9633002,14238
4004502200,1,38.2851494,77.0018455,14671
4004502201,1,38.2031611,77.1117265,14669
421800,1,32.0591678,80.1064993,15932
421801,1,32.1404615,79.9994296,15934
4004770700,1,39.9396891,79.2478571,14058
4004770701,1,39.8402799,79.2228348,14066
4004503000,1,30.4375410,81.0807697,15748
4004503001,1,30.3589743,81.1850510,15746
4002558600,1,36.8351188,81.8314586,13894
4002558601,1,36.7810020,81.7235531,13896
4004770100,1,40.4804613,81.3123458,14665
4004770101,1,40.3890365,81.2128019,14626
101500,1,41.2525878,80.2298698,13864
101501,1,41.2724040,80.3500724,13863
902600,1,43.9115654,81.2749981,14315
902601,1,44.0008502,81.3859914,14269
4002558800,1,43.1348491,81.2865071,14099
4002558801,1,43.0516452,81.1726504,14081
3276600,1,41.6541866,82.8121162,13636
3276601,1,41.6981208,82.9299791,13522
960003800,1,41.6200000,84.3441669,14404
960003799,1,41.5508335,84.2141663,14623
3277200,1,44.8942894,82.2346914,13364
3277201,1,44.8958948,82.3652610,13291
3277800,1,43.4108735,83.3183332,13710
3277801,1,43.4516209,83.4366432,13669
729000,1,46.6927742,83.2733066,14163
729001,1,46.6491379,83.4183064,14152
293200,1,38.1825782,85.4246022,14861
293201,1,38.2823558,85.5016724,14607
508200,1,41.6661090,86.1848286,15216
508201,1,41.5651527,86.0992826,15225
3323400,1,44.2532492,85.9517379,13500
3323401,1,44.2309185,85.8282572,13746
509500,1,45.5003116,84.8847292,14507
509501,1,45.4313668,85.0219014,14576
146600,1,43.8689841,87.4141448,14344
146601,1,43.9442786,87.5316828,14323
960001569,0,43.7920297,87.6257592,500
960001592,0,43.7955699,87.6215384,500
3276700,1,47.7682153,88.0109332,13793
3276701,1,47.7328843,88.1590506,13626
3277900,1,48.2458348,86.9215479,14263
3277901,1,48.1981304,87.0700634,14347
972800,1,29.3664175,89.3625467,15028
972801,1,29.3383760,89.2593760,15358
3278200,1,43.0449343,89.1566459,13952
3278201,1,43.0167373,89.0408169,13891
4004502000,1,44.1483719,89.4935233,14301
4004502001,1,44.1836953,89.6127451,14299
866400,1,46.8217800,89.4383909,14133
866401,1,46.7862465,89.5857285,13895
408100,1,29.2834859,90.8630976,15350
408101,1,29.3137888,90.9609009,15346
960001581,0,29.6513038,91.1158910,500
3325200,1,38.2369871,90.7605002,14189
3325201,1,38.1624291,90.8994007,14938
148900,1,42.8317446,93.7392996,14358
148901,1,42.8498080,93.6032691,14360
960003554,1,43.7600325,93.0823987,2594
960003558,1,43.7654487,93.0859373,5803
960003556,1,43.7467209,93.1899870,5801
960003555,1,43.7560928,93.1379429,5212
960003557,1,43.7521252,93.1935395,2593
411500,1,29.3520519,94.3772987,15036
411501,1,29.2554034,94.2936978,15014
242300,1,36.4168925,94.8389239,15686
242301,1,36.3835861,94.7331843,15688
65000,1,40.1375214,94.7533317,13879
65001,1,40.1841288,94.8649665,13931
342500,1,30.5169584,97.1680411,16418
342501,1,30.5858709,97.0539307,16420
925200,1,32.8376401,96.9814167,13886
925201,1,32.8349724,97.0944284,14023
3322800,1,37.0856727,97.2158469,14072
3322801,1,37.1642674,97.3216423,14271
263300,1,39.8923814,98.2731990,14816
263301,1,39.8268644,98.4034426,14602
3336400,1,22.4351572,99.7285997,14067
3336401,1,22.3987192,99.8388763,14104
347200,1,25.1103585,99.1658047,13173
347201,1,25.0039357,99.1660141,13193
3276500,1,23.7799967,99.9773113,14069
3276501,1,23.6983158,100.0710231,14073
1549800,1,24.9008312,98.5041103,14232
1549801,1,24.9850287,98.4683961,14109
404200,1,24.3517596,98.4989899,14149
404201,1,24.4506988,98.5669991,14157
58200,1,27.7500131,99.7251700,15018
58201,1,27.8343017,99.6307159,15019
4004502400,1,31.7420560,99.6158883,14662
4004502401,1,31.7700672,99.4979245,14664
3233500,1,22.8366763,100.9333696,13728
3233501,1,22.7508165,100.9841500,14022
263900,1,22.0183393,100.7206174,13969
263901,1,21.9341754,100.8051955,13852
3277100,1,26.4896019,101.7873305,13875
3277101,1,26.5903684,101.8090819,14026
62700,1,25.6067108,100.3545640,14313
62701,1,25.6925869,100.2832853,14312
384000,1,26.7269626,100.2519412,13693
384001,1,26.6171248,100.2393475,13676
776900,1,27.9466674,102.2057829,14555
776901,1,28.0316681,102.1621731,14567
3322400,1,27.5874149,100.7987788,14843
3322401,1,27.4836834,100.7224751,14698
3322600,1,29.3661498,100.0139363,13627
3322601,1,29.2758384,100.0898979,14246
3277400,1,30.1039367,101.7909937,15095
3277401,1,30.1841614,101.6848013,15187
3323000,1,34.3993686,100.3631328,14562
3323001,1,34.4398124,100.2305843,14740
780900,1,36.5369744,101.9787207,14260
780901,1,36.5210578,102.1003701,14070
960001568,0,36.6227479,101.7785116,500
960001591,0,36.6288858,101.7821084,500
4002558100,1,38.0119180,100.7044877,14091
4002558101,1,38.0045728,100.5849486,14091
933800,1,38.8203664,100.5969730,13856
933801,1,38.7982493,100.7246708,13846
4004501600,1,39.2541357,101.4854956,14366
4004501601,1,39.1963778,101.6131466,14363
4004501800,1,42.0313549,100.9327552,13750
4004501801,1,41.9996308,101.0680903,13747
960001566,0,25.0495561,102.7080709,500
960001589,0,25.0062919,102.6764325,500
1091400,1,25.0535186,102.9141796,15015
1091401,1,25.1324176,102.9383355,20078
873600,1,27.3782755,103.7884803,14785
873601,1,27.2772574,103.7246979,14840
207500,1,30.4987772,103.9341545,16207
207501,1,30.5874026,103.9483349,19193
95000,1,32.4891205,102.3988359,14940
95001,1,32.5744005,102.3056847,14942
276100,1,32.9011483,103.6847126,14222
276101,1,32.8046379,103.6796053,14222
3323200,1,34.8195711,102.5655322,13604
3323201,1,34.8181836,102.6794441,13477
381400,1,36.5558226,103.5962503,14455
381401,1,36.4708270,103.6466187,14391
960001582,0,36.0608921,103.8244110,500
960001601,0,36.0588045,103.8438309,500
264700,1,38.5701810,102.2745298,14796
264701,1,38.5172796,102.4124488,14659
3277500,1,23.6072385,104.3320510,13869
3277501,1,23.5084710,104.3183329,13869
40002377,0,25.2006505,104.6837868,1422
3336200,1,26.5609500,104.9404425,14701
3336201,1,26.6569268,105.0160068,14650
125300,1,26.2219644,105.8258949,14511
125301,1,26.2993101,105.9211831,14506
85700,1,25.1249952,104.9131250,14210
85701,1,25.0416679,105.0052128,14211
4000006700,1,28.8542371,104.5817323,13708
4000006701,1,28.8625657,104.4701361,13710
3028602500,1,28.9923123,105.4199459,14329
3028602501,1,29.0688166,105.5176041,14323
3336000,1,27.2371365,105.4229556,13999
